Designator,Mid X,Mid Y,Rotation,Layer
D1,77.45,-32.5,180.0,top
D2,93.45,-32.5,180.0,top
D3,109.45,-32.5,180.0,top
D4,125.45,-32.5,180.0,top
J1,101.45,-38.125,90.0,bottom
SW1,88.75,-47.5,0.0,top
SW2,101.45,-47.5,0.0,top
SW3,114.15,-47.5,0.0,top
